CO2e_emissions_per_capita.2019,HDI.2017,HDI.2021,_id,access_to_electricity.2020,control_of_corruption.2017,control_of_corruption.2021,economic_growth.2018,economic_growth.2021,education_gdp.2018,education_gdp.2021,electricity_from_renewables.2015,electricity_from_renewables.2020,gii.2022,gini,government_effectiveness.2017,government_effectiveness.2021,government_gdp.2018,government_integrity.2018,government_integrity.2022,happy_planet_index.2016,happy_planet_index.2019,health_expenditure_per_person.2019,health_gdp.2017,health_gdp.2018,health_gdp.2019,infant_mortality.2020,iso_3,military_gdp.2021,name,political_instability.2017,political_instability.2021,population.2018,primary_school_aged_kids_out.2018,primary_school_aged_kids_out.2021,region,regulatory_quality.2017,regulatory_quality.2021,rule_of_law.2017,rule_of_law.2021,seda.2018,unemployment.2018,unemployment.2021
0.68,0.578,0.585,640e0b1661fc7dcab609c605,70.4,-0.56,-1.03,6.4,-17.98,2.16,2.14,60.1,48.3,16.4,,-1.1,-1.4,22.6,28.2,29.8,24.7,40,60,2.33,2.16,2.14,19.1,MMR,3.33,Myanmar,-1.08,-2.07,53000000,1.95,undefined,South-eastern Asia,-0.8,-1.1,-0.95,-1.456,37,0.8,2.17
1.69,0.647,0.615,640e0b1661fc7dcab609c606,56.3,0.32,0.26,1.06,2.43,8.88,9.64,97.9,96.0,20.6,59.7,0.2,0.1,40.7,45.4,53.9,21.6,36.8,427.3,9.71,8.88,8.93,undefined,NAM,3.00,Namibia,0.65,0.55,2300000,1.52,1.61,Sub-Saharan Africa,-0.2,0,0.24,0.362,39.1,25.6,21.68
0.47,0.574,0.602,640e0b1661fc7dcab609c607,89.9,-0.75,-0.53,7.62,4.25,4.43,4.39,100.0,100.0,17.6,32.8,-0.9,-0.9,20.3,24.6,33.8,30.5,53.1,53.2,4.77,4.43,4.24,23.8,NPL,1.34,Nepal,-0.66,-0.24,29000000,undefined,4.35,Southern Asia,-0.7,-0.6,-0.68,-0.467,41.7,3.2,5.05
8.44,0.931,0.941,640e0b1661fc7dcab609c608,100,1.87,2.04,2.36,5.04,5.36,undefined,14.7,29.1,58,30.3,1.9,1.8,45,86,92.3,35.3,54.9,5335.3,5.18,5.36,undefined,1.8,NLD,1.42,Netherlands,0.92,0.92,17000000,undefined,undefined,Western Europe,2.1,1.8,1.83,1.739,80.3,6.2,4.01
6.83,0.917,0.937,640e0b1661fc7dcab609c609,100,2.24,2.2,3.36,4.65,6.05,undefined,80.8,81.0,47.2,36.2,1.8,1.4,41,95.7,97.5,31.3,57.4,4211,6.26,6.05,undefined,5.7,NZL,1.37,New Zealand,1.59,1.44,4700000,0.38,0.41,Australia and New Zealand,2.1,1.8,1.92,1.818,78.6,5.2,4.12
0.8,0.658,0.667,640e0b1661fc7dcab609c60a,88.9,-0.87,-1.24,-3.36,10.34,4.47,4.63,51.6,60.0,18.1,47.1,-0.6,-0.9,25.8,24.2,19,38.7,55.2,160.8,4.36,4.47,4.6,3.6,NIC,0.60,Nicaragua,-0.05,-0.47,6000000,undefined,undefined,Latin America and the Caribbean,-0.7,-0.8,-0.64,-1.356,43.5,5.9,5.96
0.09,0.354,0.4,640e0b1661fc7dcab609c60b,19.3,-0.65,-0.55,7.21,1.35,3.46,3.84,0.8,4.1,14.6,34,-0.7,-0.6,30.1,30.4,32.5,16.8,41.4,31.4,2.58,3.46,3.53,72.2,NER,1.84,Niger,-1.3,-1.62,21000000,41.3,41.03,Sub-Saharan Africa,-0.7,-0.7,-0.68,-0.405,undefined,2.6,0.75
0.57,0.532,0.535,640e0b1661fc7dcab609c60c,55.4,-1.07,-1.07,1.92,3.65,undefined,undefined,19.0,21.0,16.9,48.8,-1,-1,11,14.4,22.7,22.2,34.1,71.5,undefined,undefined,undefined,13.8,NGA,0.97,Nigeria,-1.94,-1.78,191000000,undefined,undefined,Sub-Saharan Africa,-0.9,-0.9,-0.87,-0.856,26.5,5,9.79
6.72,0.953,0.961,640e0b1661fc7dcab609c60d,100,2.24,2.14,1.12,3.92,7.64,undefined,98.5,99.0,48.8,26.8,2,1.8,48.6,93.6,96,36.8,50.9,8007.4,7.91,7.64,undefined,23.6,NOR,1.84,Norway,1.15,1.1,5000000,0,0.01,Northern Europe,1.8,1.6,2.02,1.95,85.3,4.8,4.99
15.28,0.821,0.816,640e0b1661fc7dcab609c60e,100,0.25,0.09,1.29,-3.2,5.21,5.41,undefined,0.0,26.8,,0.2,-0.1,50,51.5,53.3,21.1,undefined,624.7,5.84,5.21,5.41,35.3,OMN,7.34,Oman,0.74,0.51,4000000,3.24,1.63,Western Asia,0.4,0.3,0.43,0.406,62.1,17.5,3.12
0.88,0.562,0.544,640e0b1661fc7dcab609c60f,75.4,-0.78,-0.79,6.15,6.03,undefined,2.51,33.0,33.8,23,30.7,-0.6,-0.4,19.8,27.3,27.4,31.5,45.1,39.5,2.9,undefined,2.51,12.3,PAK,3.83,Pakistan,-2.4,-1.67,197000000,undefined,undefined,Southern Asia,-0.6,-0.7,-0.72,-0.637,27.9,5.9,4.35
3.14,0.789,0.805,640e0b1661fc7dcab609c610,96.7,-0.54,-0.57,3.69,15.34,2.88,3.91,66.5,66.5,25.7,50.7,0,0.2,23.1,38.8,38,39.5,57.9,1192.8,2.88,2.88,3.13,10,PAN,...,Panama,0.39,0.29,4000000,undefined,10.51,Latin America and the Caribbean,0.4,0.2,0.04,-0.247,54.5,5.8,12.09
0.86,0.544,0.558,640e0b1661fc7dcab609c611,60.4,-0.9,-0.76,-0.28,1.5,1.87,undefined,23.8,20.8,undefined,50.9,-0.7,-0.9,24.5,33.1,26.2,undefined,undefined,65.1,1.96,1.87,undefined,3.7,PNG,0.38,Papua New Guinea,-0.58,-0.58,8000000,undefined,undefined,Melanesia,-0.7,-0.8,-0.82,-0.74,undefined,2.5,2.75
1.17,0.702,0.717,640e0b1661fc7dcab609c612,100,-0.72,-1.01,3.2,4.2,3.28,3.3,100.0,100.0,22.6,51.7,-0.8,-0.6,24.4,28.3,29.5,23.3,47.6,388.4,3.09,3.28,3.47,14.2,PRY,0.97,Paraguay,0.12,0,7000000,undefined,undefined,Latin America and the Caribbean,-0.2,-0.2,-0.65,-0.557,46.2,5.4,7.21
1.75,0.75,0.762,640e0b1661fc7dcab609c613,99.3,-0.5,-0.63,3.97,13.35,3.71,4.25,54.0,61.6,29.1,45.3,-0.1,-0.3,21.9,36.6,39.7,34.6,55.9,370.1,3.93,3.71,3.82,20.9,PER,1.12,Peru,-0.26,-0.41,32000000,1.42,undefined,Latin America and the Caribbean,0.4,0.1,-0.5,-0.516,49.3,4.9,4.83
1.35,0.699,0.699,640e0b1661fc7dcab609c614,96.8,-0.48,-0.51,6.34,5.7,3.13,3.88,26.5,21.8,30.7,44.4,-0.1,0.1,18.9,34.4,34.7,35,57.1,142.1,4.4,3.13,3.23,15.7,PHL,1.04,Philippines,-1.24,-0.93,105000000,3.8,3.56,South-eastern Asia,0,0.1,-0.41,-0.642,44.5,5.9,2.41
7.77,0.865,0.876,640e0b1661fc7dcab609c615,100,0.73,0.57,5.35,5.73,4.62,undefined,14.6,20.4,37.5,30.8,0.6,0.3,41.7,50.9,60.6,27.5,45,1014,4.56,4.62,undefined,52.4,POL,2.12,Poland,0.52,0.51,38000000,2.16,1.14,Eastern Europe,0.9,0.8,0.47,0.445,67.7,6.2,3.37
4.34,0.847,0.866,640e0b1661fc7dcab609c616,100,0.87,0.77,2.85,4.88,4.68,undefined,49.8,61.6,42.1,33.9,1.3,1,48.4,56.8,67.8,24.8,46.3,2221.4,5.02,4.68,undefined,16.2,PRT,2.07,Portugal,1.08,0.95,10000000,0.42,0.36,Southern Europe,0.9,0.7,1.13,1.133,70.8,11.2,6.65
32.47,0.856,0.855,640e0b1661fc7dcab609c617,100,0.73,0.81,1.23,1.52,undefined,3.23,undefined,0.0,32.9,,0.7,1.1,36.4,71.6,60,undefined,24.3,1807.2,2.97,undefined,2.8,5.6,QAT,4.81,Qatar,0.55,0.96,2600000,1.34,1.92,Western Asia,0.4,0.9,0.72,0.928,70.8,0.2,0.26
3.82,0.811,0.821,640e0b1661fc7dcab609c618,100,-0.03,-0.04,4.47,5.88,3.34,undefined,41.3,47.7,34.1,27.3,-0.2,-0.1,33.2,40,45.4,28.8,46.2,738.6,3.1,3.34,undefined,4.4,ROU,1.95,Romania,0.06,0.53,20000000,12.5,12.68,Eastern Europe,0.5,0.3,0.39,0.408,60,6.4,5.17
11.8,0.816,0.822,640e0b1661fc7dcab609c619,100,-0.89,-0.9,2.81,4.82,4.68,undefined,16.9,19.7,34.3,41.2,-0.1,-0.2,35.3,38.1,29.7,18.7,34.9,653.4,4.69,4.68,undefined,30.3,RUS,4.08,Russia,-0.67,-0.65,144000000,0.16,0.07,Eastern Europe,-0.5,-0.5,-0.79,-0.87,57,5.7,5.01
0.11,0.524,0.534,640e0b1661fc7dcab609c61a,100,0.63,0.6,8.58,10.88,3.07,3.82,50.0,48.0,18.7,50.4,0.3,0.3,27.2,61.2,54.7,19.6,39.2,51.4,3.13,3.07,3.24,31.8,RWA,1.55,Rwanda,0.04,0.17,12000000,4.32,6.34,Sub-Saharan Africa,0.2,0.1,0.13,0.201,38,2.5,1.61
15.28,0.853,0.875,640e0b1661fc7dcab609c61b,100,0.36,0.31,2.51,3.24,7.09,7.81,0.0,0.1,33.4,45.9,0.3,0.5,40,49.9,50.7,undefined,41.6,1316.3,8.02,7.09,6.79,39.9,SAU,6.59,Saudi Arabia,-0.62,-0.58,33000000,undefined,5.18,Western Asia,0,0.3,0.1,0.23,62.6,5.5,7.36
0.65,0.505,0.511,640e0b1661fc7dcab609c61c,70.4,-0.09,0.06,6.21,6.06,4.86,5.5,11.1,14.3,19.9,40.3,-0.3,0.1,30.2,42.6,47.8,21.9,51.2,59.1,4.62,4.86,5.35,1.8,SEN,1.76,Senegal,-0.04,-0.17,16000000,undefined,24.64,Sub-Saharan Africa,-0.2,-0.3,-0.15,-0.364,38.4,9.5,3.72
6.62,0.787,0.802,640e0b1661fc7dcab609c61d,100,-0.37,-0.44,4.5,7.39,3.58,3.62,28.3,31.1,32.3,38.7,0.2,0,44.5,36.5,37.9,29,53.2,641,3.71,3.58,3.62,50.3,SRB,2.09,Serbia,0.1,-0.13,7000000,1.43,2.89,Southern Europe,0,0.1,-0.19,-0.092,54.9,16.5,11.81
0.12,0.419,0.477,640e0b1661fc7dcab609c61e,26.2,-0.59,-0.43,3.46,3.05,6.99,8.81,62.9,91.4,undefined,34,-1.2,-1.1,18.4,22,32.4,15.3,29,46.2,4.66,6.99,7.45,11.1,SLE,0.61,Sierra Leone,0.03,-0.16,8000000,undefined,undefined,Sub-Saharan Africa,-0.9,-1,-0.79,-0.8186520338,32.9,3,5.33
8.31,0.932,0.939,640e0b1661fc7dcab609c61f,100,2.13,2.17,3.66,7.61,2.86,2.51,3.3,3.5,57.3,45.9,2.2,2.3,17.7,91.2,92.8,undefined,45.5,2632.7,2.77,2.86,2.74,16.6,SGP,2.98,Singapore,1.59,1.49,6000000,0.2,0.1,South-eastern Asia,2.1,2.2,1.82,1.858,81.8,1.8,3.62
5.7,0.855,0.848,640e0b1661fc7dcab609c620,100,0.22,0.24,3.79,3.02,3.97,undefined,23.7,25.0,34.3,23.7,0.8,0.5,43.1,38.2,53.7,28.2,46.6,1342.1,3.94,3.97,undefined,1.8,SVK,1.71,Slovakia,0.88,0.56,5000000,4.43,3.29,Eastern Europe,0.8,0.9,0.57,0.706,67.4,10,6.74
6.51,0.896,0.918,640e0b1661fc7dcab609c621,100,0.81,0.72,4.42,8.11,4.94,undefined,30.5,36.2,40.6,24.4,1.2,1.2,47.9,52.1,66.7,24.6,47.9,2219.1,4.78,4.94,undefined,2.1,SVN,1.22,Slovenia,0.89,0.76,2100000,0.23,0.11,Southern Europe,0.6,0.8,1.02,1.03,72.6,8.7,4.42
0.54,0.546,0.564,640e0b1661fc7dcab609c622,73.3,0.11,-0.14,3.94,-0.18,10.81,12.75,undefined,5.3,undefined,,-1,-0.9,46.3,36.8,42.3,undefined,undefined,111.9,12.11,10.81,11.13,80.1,SLB,undefined,Solomon Islands,0.21,0.49,600000,4.38,6.65,Melanesia,-0.8,-0.9,-0.21,-0.352,undefined,31.4,1.03
0.04,undefined,undefined,640e0b1661fc7dcab609c623,49.7,-1.72,-1.78,7.68,3.33,undefined,undefined,1.4,5.0,undefined,,-2.2,-2.1,undefined,17.8,undefined,undefined,undefined,undefined,undefined,undefined,undefined,4.9,SOM,...,Somalia,-2.33,-2.68,15000000,undefined,undefined,Sub-Saharan Africa,-2.3,-1.8,-2.31,-2.273,undefined,6.6,19.86
7.51,0.699,0.713,640e0b1661fc7dcab609c624,84.4,-0.01,0.02,1.49,4.91,5.64,6.19,2.4,7.0,29.8,62.5,0.3,0,32.6,45.4,48.4,15.9,36.2,546.7,5.6,5.64,5.92,41.7,ZAF,undefined,South Africa,-0.27,-0.71,57000000,11.01,10.79,Sub-Saharan Africa,0.2,-0.1,-0.01,0.131,38.5,25.9,33.56
0.15,0.388,0.385,640e0b1661fc7dcab609c625,7.2,-1.71,-1.82,undefined,undefined,undefined,undefined,0.6,0.7,undefined,46,-2.5,-2.4,undefined,undefined,undefined,undefined,undefined,22.6,undefined,undefined,undefined,50.3,SSD,2.37,South Sudan,-2.46,-2.3,13000000,undefined,undefined,Sub-Saharan Africa,-1.9,-2,-1.94,-2.045,undefined,undefined,13.91
5.09,0.891,0.905,640e0b1661fc7dcab609c626,100,0.49,0.74,2.29,5.13,4.18,undefined,36.2,46.0,44.6,35.9,1,0.9,43.7,51.5,67.2,36,52.3,2711.2,4.21,4.18,undefined,1.7,ESP,1.37,Spain,0.27,0.58,47000000,3.08,2.8,Southern Europe,0.9,0.8,1.01,0.876,71.8,19.4,14.73
1.09,0.77,0.782,640e0b1661fc7dcab609c627,100,-0.45,-0.33,3.27,3.66,2.14,1.93,49.8,33.2,24.2,39.2,-0.2,-0.1,18.9,30.7,40.1,33.8,46.8,160.7,undefined,2.14,1.93,33.9,LKA,1.88,Sri Lanka,-0.06,-0.32,21000000,0.54,undefined,Southern Asia,-0.1,-0.4,0.06,0.038,49.3,5,5.39
0.48,0.502,0.508,640e0b1661fc7dcab609c628,55.4,-1.54,-1.29,-2.68,0.11,undefined,undefined,65.7,55.2,undefined,,-1.4,-1.6,12.5,21.2,14.6,undefined,39.6,46.9,undefined,undefined,undefined,28.9,SDN,1.02,Sudan,-2.01,-1.94,41000000,32.87,undefined,Northern Africa,-0.6,-1.5,-1.11,-1.21,26.5,13.3,19.81
4.56,0.72,0.73,640e0b1661fc7dcab609c629,98.2,-0.17,-0.4,4.95,-3.48,4.92,5.01,61.3,58.2,undefined,,-0.6,-0.6,28.1,39.9,37.6,25.4,undefined,619.2,5.46,4.92,6.83,4.7,SUR,undefined,Suriname,0.14,0.37,600000,13.83,11.77,Latin America and the Caribbean,-0.5,-0.7,-0.15,-0.103,52.7,10,10.06
3.41,0.933,0.947,640e0b1661fc7dcab609c62a,100,2.14,2.13,1.95,4.8,7.64,undefined,64.7,70.1,61.6,24.9,1.8,1.7,50.6,92.9,95.7,28,50.5,5671.4,7.57,7.64,undefined,37.4,SWE,1.28,Sweden,0.98,1.03,10000000,0.13,0.12,Northern Europe,1.8,1.8,1.94,1.734,81.9,7.1,8.66
4.36,0.944,0.962,640e0b1661fc7dcab609c62b,100,1.99,1.99,2.92,3.69,4.86,undefined,65.4,67.4,64.6,29.5,2.1,2,34,82.8,92.3,34.3,60.1,9666.3,4.95,4.86,undefined,undefined,CHE,0.71,Switzerland,1.21,1.13,8000000,0.08,0.08,Western Europe,1.9,1.7,1.93,1.808,83.8,4.6,5.32
1.51,0.536,0.577,640e0b1661fc7dcab609c62c,89.1,-1.56,-1.78,1.48,undefined,undefined,undefined,2.4,7.5,undefined,,-1.8,-1.7,undefined,23.1,undefined,19.1,undefined,undefined,undefined,undefined,undefined,undefined,SYR,...,Syria,-2.63,-2.66,18000000,undefined,undefined,Western Asia,-1.8,-1.6,-2.09,-2.07,undefined,14.3,10.57
1.01,0.65,0.685,640e0b1661fc7dcab609c62d,99.8,-1.33,-1.34,7.6,9.2,5.56,5.71,98.5,93.1,18.8,32.6,-1.1,-0.6,30.9,38.2,17.8,34.2,55.2,61.9,5.84,5.56,5.71,36.1,TJK,1.01,Tajikistan,-0.67,-0.61,9000000,undefined,undefined,Central Asia,-1.1,-1.1,-1.35,-1.185,41.3,10.8,7.75
0.21,0.538,0.549,640e0b1661fc7dcab609c62e,39.9,-0.48,-0.36,5.44,4.28,3.7,3.3,35.3,33.5,19.4,37.6,-0.6,-0.6,18.5,31.8,36.9,22.1,37,40.3,4.43,3.7,3.6,31.9,TZA,1.07,Tanzania,-0.58,-0.44,57000000,17.65,16.08,Sub-Saharan Africa,-0.6,-0.6,-0.45,-0.523,36,2.6,2.65
3.84,0.755,0.8,640e0b1661fc7dcab609c62f,100,-0.39,-0.46,4.22,1.57,3.06,2.97,9.0,16.7,34.9,44.5,0.4,0.3,22,34.7,38.5,37.3,52.9,296.2,3.36,3.06,2.97,28.4,THA,1.32,Thailand,-0.76,-0.55,69000000,undefined,undefined,South-eastern Asia,0.1,0.1,0.04,0.115,52.4,0.6,1.42
0.48,0.625,0.607,640e0b1661fc7dcab609c630,96.1,-0.54,-0.05,-0.69,4.4,6.73,undefined,undefined,0.0,undefined,31.9,-1,-0.8,48,32,38.2,undefined,undefined,92.7,7.03,6.73,undefined,19.2,TLS,1.14,Timor-Leste,0.03,0.17,1200000,4.19,4.9,South-eastern Asia,-0.7,-0.8,-1.17,-0.998,undefined,4,5.07
0.29,0.503,0.539,640e0b1661fc7dcab609c631,54,-0.71,-0.67,4.98,5.26,4.04,3.99,76.1,17.1,15.1,46,-1.1,-0.6,29.8,31.4,28.8,13.2,37.3,51.2,3.76,4.04,4.07,7.4,TGO,1.78,Togo,-0.74,-0.8,8000000,5.31,1.22,Sub-Saharan Africa,-0.8,-0.6,-0.71,-0.559,34.9,6.8,4
12.32,0.784,0.81,640e0b1661fc7dcab609c632,100,-0.36,-0.28,-0.71,-0.99,3.3,4.1,undefined,0.1,19.8,,0.3,0.2,39,33.1,44.2,15.7,31.6,1167.9,3.58,3.3,3.7,14.3,TTO,0.89,Trinidad and Tobago,0.29,0.15,1400000,undefined,undefined,Latin America and the Caribbean,0,-0.1,-0.11,-0.136,58.7,3.9,4.8
