CO2e_emissions_per_capita.2019,HDI.2017,HDI.2021,_id,access_to_electricity.2020,control_of_corruption.2017,control_of_corruption.2021,economic_growth.2018,economic_growth.2021,education_gdp.2018,education_gdp.2021,electricity_from_renewables.2015,electricity_from_renewables.2020,gii.2022,gini,government_effectiveness.2017,government_effectiveness.2021,government_gdp.2018,government_integrity.2018,government_integrity.2022,happy_planet_index.2016,happy_planet_index.2019,health_expenditure_per_person.2019,health_gdp.2017,health_gdp.2018,health_gdp.2019,infant_mortality.2020,iso_3,military_gdp.2021,name,political_instability.2017,political_instability.2021,population.2018,primary_school_aged_kids_out.2018,primary_school_aged_kids_out.2021,region,regulatory_quality.2017,regulatory_quality.2021,rule_of_law.2017,rule_of_law.2021,seda.2018,unemployment.2018,unemployment.2021
1.38,0.612,0.666,640e0b1661fc7dcab609c5a8,100,1.57,1.55,3.06,-10.08,6.85,5.68,100.0,100.0,undefined,38.8,0.6,0.8,30.5,50.9,73.5,28.6,36.7,116,7.23,6.85,5.68,36.1,BTN,undefined,Bhutan,1.13,0.97,800000,8.14,3.65,Southern Asia,-0.3,-0.4,0.63,0.636,47.7,2.4,4.33
1.94,0.693,0.692,640e0b1661fc7dcab609c5a9,97.6,-0.66,-0.86,4.22,6.11,8.9,undefined,32.5,35.6,undefined,47,-0.4,-0.7,42.2,23.1,28.7,23.3,45,245.9,8.66,8.9,undefined,13.1,BOL,1.54,Bolivia,-0.3,-0.32,11000000,6.79,4.9,Latin America and the Caribbean,-0.9,-1.2,-1.21,-1.163,44.8,3.7,8.51
6.38,0.768,0.78,640e0b1661fc7dcab609c5aa,100,-0.52,-0.64,3.74,7.1,undefined,undefined,36.7,37.3,28.5,33.8,-0.5,-1,44.1,28.4,33.4,25.3,47.8,553.8,undefined,undefined,undefined,2.2,BIH,0.89,Bosnia and Herzegovina,-0.38,-0.38,3900000,13.28,undefined,Southern Europe,-0.2,-0.2,-0.21,-0.279,50.2,25.8,15.22
3.15,0.717,0.693,640e0b1661fc7dcab609c5ab,72,0.8,0.69,3.98,11.36,6.72,8.74,0.0,0.2,23.9,60.5,0.4,0.4,34.9,56.6,61.4,16.6,31.9,481.5,7.3,6.72,6.91,77.5,BWA,2.86,Botswana,1.03,0.98,2200000,undefined,undefined,Sub-Saharan Africa,0.5,0.6,0.51,0.482,44.1,18.4,24.72
2.06,0.759,0.754,640e0b1661fc7dcab609c5ac,100,-0.53,-0.48,1.78,4.62,6.09,undefined,75.0,86.0,32.5,49,-0.3,-0.5,40.5,31.4,40,34.3,54.6,853.4,6.32,6.09,undefined,11.4,BRA,1.19,Brazil,-0.41,-0.49,209000000,0.52,undefined,Latin America and the Caribbean,-0.1,-0.1,-0.28,-0.28,51.6,11.5,14.4
16.13,0.853,0.829,640e0b1661fc7dcab609c5ad,100,0.71,1.25,0.05,-1.61,undefined,undefined,0.1,0.0,22.1,,1.1,1.5,37.5,45.4,61.1,undefined,undefined,671.6,undefined,undefined,undefined,23.2,BRN,3.26,Brunei,1.19,1.17,400000,0.77,1.68,South-eastern Asia,0.7,1,0.65,0.89,72.5,2,7.65
5.61,0.813,0.795,640e0b1661fc7dcab609c5ae,99.7,-0.16,-0.24,2.68,4.18,undefined,undefined,18.8,21.1,39.5,40.2,0.3,-0.1,36.3,38.2,45.6,20.4,40.1,697.9,4.08,undefined,undefined,5.8,BGR,1.59,Bulgaria,0.37,0.46,7000000,13.3,undefined,Eastern Europe,0.6,0.4,-0.04,-0.044,59.9,8,5.42
0.25,0.423,0.449,640e0b1661fc7dcab609c5af,19,-0.11,-0.06,6.6,6.91,5.49,5.52,9.9,12.5,15.3,39.5,-0.6,-0.7,23.3,31.8,41.4,17.9,41.5,42.3,5.63,5.49,5.7,24.3,BFA,2.89,Burkina Faso,-0.92,-1.64,19000000,20.66,24.5,Sub-Saharan Africa,-0.4,-0.5,-0.4,-0.438,33.4,3,4.76
0.06,0.417,0.426,640e0b1661fc7dcab609c5b0,11.7,-1.28,-1.58,1.61,1.8,5.08,5.04,87.0,65.5,12.3,42.4,-1.3,-1.3,26.7,26.2,12.2,15.6,37.7,20.6,4.76,5.08,5.35,3.4,BDI,1.92,Burundi,-1.97,-1.36,11000000,6.39,10.11,Sub-Saharan Africa,-0.8,-1,-1.4,-1.294,28.3,1.6,1.79
1.18,0.654,0.662,640e0b1661fc7dcab609c5b1,94.2,0.84,undefined,4.53,6.95,5.37,7.58,30.7,19.0,undefined,,0.2,undefined,30.8,42.8,60.9,undefined,undefined,177.9,5.18,5.37,4.73,6.7,CPV,undefined,Cabo Verde,0.9,undefined,500000,6.45,undefined,Sub-Saharan Africa,-0.2,undefined,0.41,undefined,undefined,10.5,undefined
0.98,0.582,0.593,640e0b1661fc7dcab609c5b2,86.4,-1.29,-1.18,7.47,3.03,2.16,undefined,47.7,50.1,20.5,37.9,-0.7,-0.4,21.2,17.7,12.3,25.6,48,113.3,3.2,2.16,undefined,39.2,KHM,2.32,Cambodia,0.17,-0.13,16000000,9.31,10.85,South-eastern Asia,-0.5,-0.6,-1.06,-0.9,38.5,0.3,15.42
0.36,0.556,0.576,640e0b1661fc7dcab609c5b3,64.7,-1.18,-1.09,3.96,3.49,3.03,3.17,77.0,64.3,15.1,44.6,-0.8,-0.9,21.6,23.4,19.9,16.7,39.9,54,3.06,3.03,3.08,63.8,CMR,1.02,Cameroon,-1.08,-1.41,24000000,undefined,undefined,Sub-Saharan Africa,-0.8,-0.9,-1.02,-1.097,32.1,4.5,0.61
15.43,0.926,0.936,640e0b1661fc7dcab609c5b4,100,1.92,1.65,2.78,4.56,undefined,undefined,64.7,68.8,50.8,32.1,1.9,1.6,39.9,78.3,86.7,23.9,40.2,5048.4,undefined,undefined,undefined,3.9,CAN,1.32,Canada,1.11,0.94,37000000,0.21,undefined,Northern America,1.9,1.6,1.8,1.627,76.9,7.1,3.87
0.05,0.367,0.404,640e0b1661fc7dcab609c5b5,15.5,-1.17,-1.23,3.79,0.9,1.57,2.17,86.2,99.4,undefined,43.6,-1.8,-1.6,13.4,24.6,18.3,undefined,25.2,37.2,1.75,1.57,1.77,4.4,CAF,1.86,Central African Republic,-1.94,-2.1,4900000,undefined,undefined,Sub-Saharan Africa,-1.5,-1.5,-1.73,-1.667,16.1,6.9,7.51
0.14,0.404,0.394,640e0b1661fc7dcab609c5b6,11.1,-1.43,-1.48,2.37,-1.2,2.26,2.91,undefined,undefined,undefined,43.3,-1.5,-1.4,17.7,23.1,13.1,12.8,30.4,29.9,2.45,2.26,2.37,11.6,TCD,2.79,Chad,-1.34,-1.34,15000000,25.72,undefined,Sub-Saharan Africa,-1.2,-1.2,-1.3,-1.325,20.4,5.8,1.88
4.82,0.843,0.855,640e0b1661fc7dcab609c5b7,100,1.04,0.98,3.99,11.67,5.43,undefined,44.7,48.3,34,50.5,0.9,0.6,25,61.2,71.4,31.7,45.6,1375.8,5.42,5.43,undefined,5.5,CHL,1.96,Chile,0.38,0.06,18000000,1.28,undefined,Latin America and the Caribbean,1.3,1,1.01,0.914,62.6,6.6,9.13
7.61,0.752,0.768,640e0b1661fc7dcab609c5b8,100,-0.27,0.05,6.75,8.11,3.54,3.57,25.0,29.2,55.3,46.5,0.4,0.8,30.7,47.3,39.3,25.7,41.9,535.1,3.67,3.54,3.54,57.9,CHN,1.74,China,-0.25,-0.48,1386000000,undefined,undefined,Eastern Asia,-0.2,-0.3,-0.26,0.035,50.8,4.6,4.82
1.61,0.843,0.752,640e0b1661fc7dcab609c5b9,100,-0.37,-0.34,2.56,10.56,4.45,4.93,69.4,67.1,29.2,51.1,-0.1,0,29.2,33.4,42,40.7,60.2,495.3,4.54,4.45,4.51,47.2,COL,3.40,Colombia,-0.79,-0.91,49000000,2.28,1.21,Latin America and the Caribbean,0.3,0.2,-0.36,-0.452,49.1,9.9,14.34
0.38,0.752,0.558,640e0b1661fc7dcab609c5ba,86.7,-0.68,-1.29,3.64,2.35,undefined,undefined,3.7,0.4,undefined,55.9,-1.6,-1.8,27.2,27.5,20.1,23.1,42.4,72.3,undefined,undefined,undefined,12.2,COM,undefined,Comoros,0.03,-0.23,800000,18.15,undefined,Sub-Saharan Africa,-1,-1.2,-1.05,-1.225,undefined,20,9.45
0.04,0.457,0.479,640e0b1661fc7dcab609c5bb,19.1,-1.42,-1.55,5.82,5.71,undefined,2.7,54.6,28.9,undefined,42.1,-1.6,-1.7,13.2,27.3,11.8,undefined,40.5,20.6,1.45,undefined,undefined,33,COD,0.56,Congo (Dem. Rep.),-2.3,-1.61,81000000,undefined,undefined,Sub-Saharan Africa,-1.5,-1.4,-1.69,-1.704,24.8,3.6,5.43
1.35,0.606,0.571,640e0b1661fc7dcab609c5bc,49.5,-1.33,-1.37,-4.81,-3.5,3,4.45,99.8,99.9,undefined,48.9,-1.2,-1.6,47.1,24.6,13.4,18.8,47.2,48.6,4.45,3,3.58,11.4,COG,2.91,Congo (Rep.),-0.53,-0.61,4500000,15.63,undefined,Sub-Saharan Africa,-1.3,-1.4,-1.1,-1.136,32.7,11.2,23.01
1.63,0.794,0.809,640e0b1661fc7dcab609c5bd,99.9,0.47,0.5,2.62,7.58,6.77,6.8,99.1,99.8,28.7,48.5,0.3,0.3,19.3,51.8,63.1,44.7,62.1,921.6,7.07,6.77,6.8,14,CRI,undefined,Costa Rica,0.51,0.87,4900000,0.12,0.07,Latin America and the Caribbean,0.5,0.5,0.45,0.452,58.9,9,17.95
0.42,0.794,0.55,640e0b1661fc7dcab609c5be,69.7,-0.52,-0.37,6.89,7.02,3.24,3.44,undefined,undefined,17.8,41.5,-0.7,-0.5,22.6,36.6,33.8,14.4,39.6,75.1,3.8,3.24,3.72,48.3,CIV,1.25,"Cote d'Ivoire",-1.09,-0.95,24000000,6.18,3.34,Sub-Saharan Africa,-0.4,-0.3,-0.63,-0.634,30.5,9.3,3.47
